codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
2780-21-L125;"INSUMOS DENTALES";"I MUNICIPALIDAD DE LA LIGUA";"69.050.100-7";"DEPARTAMENTO DE SALUD MUNICIPAL";"PAPUDO 655";"La Ligua";"Región de Valparaíso";"L1";"Cerrada";"COMPRA DE INSUMOS DENTALES PARA USUARIOS DE LA COMUNA LA LIGUA, PROGRAMA REFORZAMIENTO DE SALUD ORAL 2025";2025-04-01T11:48:19.27;2025-04-09T20:50:00;2025-04-11T20:50:00;6500000;"CLP";0;0
1671-7-L125;"Servicio de difusión de capsulas radiales programa FAN (Marea Roja) en la Región de Atacama para la Comuna de Chañaral, Caldera,  Copiapó,  Huasco, Vallenar.";"SUBSECRETARIA DE SALUD PUBLICA";"61.601.000-K";"Seremi de Salud III Región";"Maipú 760 -  A";"Copiapó";"Región de Atacama";"L1";"Cerrada";"Se requiere la difusión de capsulas radiales programa FAN (Marea Roja) en la Región de Atacama para la Comuna de Chañaral, Caldera,  Copiapó,  Huasco, Vallenar.";2025-04-02T11:19:29.13;2025-04-09T18:00:00;2025-05-27T16:00:00;5400000;"CLP";0;0
1288505-4-LE25;"Servicio de Mant. correctiva y preventiva Caldera";"SERVICIO NACIONAL DEL PATRIMONIO CULTURAL";"60.905.000-4";"DIRECCIÓN REGIONAL DE MAGALLANES";"Hornillas 42 Punta Arenas";"Punta Arenas";"Región de Magallanes y de la Antártica";"LE";"Cerrada";"Servicio de Mantención correctiva y preventiva del Sistema de Calefacción  Certificación del Sistema y Construcción de cubierta protectora sobre estanque de petróleo del Museo Territorial Yagan Usi”";2025-03-28T15:34:52.903;2025-04-09T18:00:00;2025-04-15T15:00:00;8000000;"CLP";0;0
2263-16-LP25;"Material Granular Malleco Nahuelbuta 10 2025- CCI Chanco";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"Dirección de Vialidad - IX Región - Provincia de Malleco";"Lautaro 17";"Angol";"Región de la Araucanía";"LP";"Cerrada";"Material Granular Malleco Nahuelbuta 10 2025- CCI Chanco";2025-03-25T17:31:25.19;2025-04-09T17:28:00;2025-04-10T17:29:00;;"CLP";0;0
2026-46-LQ25;"ANALIZADORES DE EQUIPOS MÉDICOS - HPMM";"SERVICIO SALUD VINA DEL MAR QUILLOTA";"61.606.600-5";"Servicio de Salud Viña del Mar - Quillota";"Limache 1307 esq. Peñablanca";"Viña del Mar";"Región de Valparaíso";"LQ";"Cerrada";"Según indican bases de licitación";2025-03-20T07:41:54.45;2025-04-09T17:00:00;2025-06-18T20:00:00;;"CLP";0;0
3928-30-LE25;"CONTRATO DE SUMINISTRO PRODUCTOS DE PASTELERIA PARA EL DEPARTAMENTO DE EDUCACIÓN MUNICIPAL ESTABLECIMIENTOS EDUCACIONALES JARDINES INFANTILES AÑO 2025";"ILUSTRE MUNICIPALIDAD DE PICHILEMU";"69.091.201-5";"Educación Municipal";"Angel Gaete 365";"Pichilemu";"Región del Libertador General Bernardo O´Higgins";"LE";"Cerrada";"CONTRATO DE SUMINISTRO PRODUCTOS DE PASTELERIA PARA EL DEPARTAMENTO DE EDUCACIÓN MUNICIPAL ESTABLECIMIENTOS EDUCACIONALES JARDINES INFANTILES AÑO 2025";2025-03-26T17:13:06.25;2025-04-09T16:30:00;2025-04-16T15:30:00;;"CLP";0;0
2724-18-LE25;"Servicio Limpieza Fosas Septicas San Carlos 2025";"ILUSTRE MUNICIPALIDAD DE SAN CARLOS";"69.140.500-1";"COMPRAS Y CONTRATACIONES MUNICIPALES";"Vicuña Mackenna 436, CUARTO PISO FINANZAS";"San Carlos";"Región del Ñuble";"LE";"Cerrada";"La Municipalidad de San Carlos, llamar a licitación Pública, la provisión del servicio de extracción, transporte y disposición final de lodos de fosas sépticas particulares de la comuna de San Carlos para el año 2025, de acuerdo a terminos de bases administrativas especiales, bases tecnicas y anexos adjuntos.";2025-03-28T11:32:00;2025-04-09T16:30:00;2025-04-30T18:37:00;12250000;"CLP";0;0
634-26-LP25;"350 SABLES INSTITUCIONALES";"DIRECCION GENERAL DE GENDARMERIA DE CHIL";"61.004.000-4";"Dirección Nacional";"COMPAÑÍA Nº1048- piso 10";"Santiago";"Región Metropolitana de Santiago";"LP";"Cerrada";"DISPONE LLAMADO A LICITACIÓN PÚBLICA Y APRUEBA BASES ADMINISTRATIVAS, TÉCNICAS Y FORMULARIOS DESTINADOS A LA ADQUISICIÓN DE 350 SABLES  E102RT9";2025-03-10T17:32:58.247;2025-04-09T16:30:00;2025-05-20T20:00:00;71887900;"CLP";0;0
1697-7-LE25;"MANTENCIÓN DE SISTEMA DE IMPULSIÓN CALAMA";"CORP ADMINISTRATIVA DEL PODER JUDICIAL";"60.301.001-9";"Corp. Adm. del Poder Judicial - Antofagasta";"Uribe 636 piso 14, Edificio Centro de Negocios Uribe";"Antofagasta";"Región de Antofagasta";"LE";"Cerrada";"2693-8-PC25";2025-03-26T17:05:31.17;2025-04-09T16:00:00;2025-06-10T17:00:00;;"CLF";0;0
654478-5-LP25;"SERVICIO DE “SUMINISTRO DE CATERING”";"SUBSECRETARIA DE PREVENCION DEL DELITO";"61.980.140-7";"Subsecretaría de Prevención del Delito";"Moneda # 1326, piso 5";"Santiago";"Región Metropolitana de Santiago";"LP";"Cerrada";"La Subsecretaría de Prevención del Delito requiere contratar un convenio de suministro para el Servicio de Catering que permita contar con distintos tipos de alimentación en las actividades comunicacionales que realice la Subsecretaría de acuerdo con los lineamientos de gobierno, principalmente en la Región Metropolitana, y en las otras regiones del país";2025-03-20T15:56:47.32;2025-04-09T16:00:00;2025-05-26T18:00:00;70000000;"CLP";0;0
