codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
604944-2-LE25;"SERVICIOS DE CAPACITACIÓN ESTRATÉGICOS POR LÍNEA";"SUBSECRETARIA DE DEFENSA";"61.979.870-8";"Subsecretaría de Defensa";"Zenteno N° 45, Quinto Piso";"Santiago";"Región Metropolitana de Santiago";"LE";"Publicada";"El contenido de las presentes Bases, se refiere a la propuesta pública, para adquirir los siguientes servicios de capacitación para la Subsecretaría de Defensa:  •	Diplomado Unión Europea y Chile. •	Diplomado  Gobernanza en Ciberseguridad. •	Curso Aplicación Inteligencia Artificial. •	Diplomado Gestión de Proyectos. •	Diplomado Preparación, Evaluación y Gestión de Proyectos. •	Diplomado en Políticas Públicas. •	Diplomado en Compras Públicas: Nueva Normativa. •	Curso China: Negocios y Relaciones Internacionales. •	Diplomado Medio ambiente. Lo anterior, de conformidad con lo establecido en el Plan Anual de Capacitación de la Subsecretaría de Defensa, la Ley Nº 19.886 de Bases sobre Contratos Administrativos de Suministro y Prestación de Servicios y su Reglamento, aprobado por el D.S. Nº 661, de 2024, del Ministerio de Hacienda, y cumpliendo lo establecido en las bases técnicas del presente proceso licitatorio.";2025-04-09T16:19:36.23;2025-05-06T15:01:00;2025-05-28T23:59:00;;"CLP";0;0
1057539-83-LQ25;"SER.MEDICOS NEUROQUIRURGICO DE URGENCIA";"HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI";"61.975.100-0";"Bienes y Servicios";"";"";"Región de los Lagos";"LQ";"Publicada";"ADQUISICIÓN DE SERVICIOS MEDICOS DE CIRUGÍAS NEUROQUIRÚRGICA DE URGENCIA";2025-04-09T16:10:38.963;2025-04-29T15:00:00;2025-08-29T15:00:00;174304725;"CLP";0;0
4486-15-LR25;"CONCESIÓN DEL SERVICIO DE MANTENCIÓN AREAS VERDES";"I MUNICIPALIDAD DE NEGRETE";"69.170.800-4";"Ilustre Municipalidad de Negrete";"Alberto Moller 293";"Negrete";"Región del Biobío";"LR";"Publicada";"La Municipalidad de Negrete, llama a Licitación Pública para contratar los Servicios de Mantención, Conservación, Construcción, Recuperación y Aseo de áreas Verdes de la Comuna. La comuna de Negrete actualmente tiene aproximadamente 278.436 metros cuadrados de áreas verdes consistentes en plazas, espacios comunes, avenidas y calles, escuelas, colegios, jardines infantiles, sedes sociales, estadio, canchas, multibancas y juegos infantiles. El servicio considera la mantención, conservación, recuperación y aseo de las áreas verdes existentes. El contratista debe proveer de camión Aljibe, de personal, insumos, equipos y materiales para la prestación del Servicio. El contratista deberá velar por el paisajismo de la comuna de Negrete y trabajar con productos amigables con el medio ambiente.";2025-04-09T15:37:52.287;2025-05-09T18:00:00;2025-06-30T18:00:00;460000000;"CLP";0;0
2735-55-LR25;"SERVICIO DE CONTROL DE PLAGAS Y SANITIZACIÓN";"I MUNICIPALIDAD LO BARNECHEA";"69.255.200-8";"Municipalidad de lo Barnechea - Adquisiciones - Consistorial";"El Rodeo N° 12.777";"Lo Barnechea";"Región Metropolitana de Santiago";"LR";"Publicada";"servicio de control de plagas, el que está constituido por los servicios de desratización, desinsectación, sanitización, control de colonias de murciélagos, control de palomas, y el retiro, traslado y reubicación de panales de abeja, los que serán requeridos a precios unitarios durante la vigencia del contrato. Los servicios deberán ser ejecutados dentro de la comuna de Lo Barnechea y previo requerimiento del ITS, los que podrán ser en plazas, mientras no sean fitosanitario, en BNUP, quebradas, esteros, alcantarillados, inmuebles municipales, y todas las viviendas de la comuna, entre otros.";2025-04-09T15:32:56.8;2025-05-12T16:00:00;2025-08-13T23:59:00;;"CLF";0;0
1380-93-LR25;"PPTA 96-25 ADQUISICIÓN DE FORMULAS ENTERALES";"HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA";"61.602.232-6";"HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA";"Manuel Montt 115";"Temuco";"Región de la Araucanía";"LR";"Publicada";"Se requiere disponer de Formulas Enterales, para poder satisfacer las necesidades nutricionales de los pacientes hospitalizados en el Hospital Dr. Hernán Henríquez Aravena de Temuco, para distintos casos de alta especialización, que requieren de soporte nutricional para promover la recuperación y calidad de vida del paciente, en este contexto las formulas enterales son fundamental para el tratamiento cuando los usuarios presentan, trastornos que impiden una alimentación oral adecuada, como disfagia, cirugía gastrointestinal, condiciones clínicas crónicas o agudas que requieren alimentación enteral prolongada. Las presentes bases se refieren a las condiciones y características técnicas requeridas para la “ADQUISICIÓN DE FORMULAS ENTERALES”, en adelante: “los Insumos”, por el periodo de dieciocho 18 meses. La adquisición se realizará en concordancia con el Plan Anual de Compras 2025 PAC 2025, la legislación vigente, bases administrativas y técnicas, especificaciones técnicas que se detallan en el Anexo N° 3, 3A,3B,3C,3D,3E,3F,3G,3H,3I y entre otros que constituyen el requerido llamado a licitación.";2025-04-09T15:08:16.847;2025-05-12T15:00:00;2025-08-07T17:00:00;419194541;"CLP";0;0
3706-35-LQ25;"2do llamado CONSTRUCCION ILUMINACION SOLAR Y TELEVIGILANCIA";"I MUNICIPALIDAD DE SAN IGNACIO";"69.141.300-4";"Adquisiciones";"MANUEL JESUS ORTIZ 599";"San Ignacio";"Región del Ñuble";"LQ";"Publicada";"La Iniciativa busca el dotar de iluminación en diferentes sectores de la comuna de San Ignacio por medio de la instalación de luminarias led del tipo solar, asimismo, la colocación de cámaras de vigilancia en lugares de uso público como parques y plazas de villas. Luminarias y cámaras serán emplazadas en puntos estratégicos como entradas de caminos no enrolados, paraderos de locomoción rural, accesos de APR y espacios públicos dónde sea insuficiente la iluminación existente o se necesite un monitoreo del uso de estos con el fin de prevenir el delito. En términos cuantitativos se instalarán 114 luminarias del tipo solar de 200Wats (equipo y poste metálico) en los sectores Lourdes (8 Uds.), Quiriquina (8 Uds.), San Pedro (8 Uds.), APR Villa Santa Rosa (8 Uds.), Paso Las Huertas (8 Uds.), Meco (8 Uds.), APR Villa Las Araucarias (11) Uds.), Crucero Coltón (8 Uds.), Coltón Las Rosas (8 Uds.), Santa Juana (8 Uds.), APR Vista Bella (8 Uds.), Villa Cordillera (8 Uds.), Vista Bella (8 Uds.) y El Calvario (8 Uds.). Las cámaras de vigilancia comprenderán la cantidad de 12 en los sectores de El Álamo (6 Uds.) y Villa Primavera (6 Uds.), del tipo ptz 4g (cámara y poste metálico).";2025-04-09T14:51:11.8;2025-04-29T16:00:00;2025-05-28T16:00:00;;"CLP";0;0
2176-16-LR25;"“Servicio de transporte para traslado de funcionarios del Centro Integrado de Notificaciones Judiciales de Valparaíso – Zona Costa y Juzgados no Reformados de la Jurisdicción”";"CORP ADMINISTRATIVA DEL PODER JUDICIAL";"60.301.001-9";"Corp. Adm. del Poder Judicial -  Valparaiso";"Prat 779, piso 9";"Valparaíso";"Región de Valparaíso";"LR";"Publicada";"PAC(3171-24-PC25)  Servicio de transporte para traslado de funcionarios del Centro Integrado de Notificaciones Judiciales de Valparaíso - Zona Costa y Juzgados no Reformados de la jurisdicción";2025-04-09T14:35:05.407;2025-05-12T16:00:00;2025-09-09T17:44:00;;"CLP";0;0
514862-32-LP25;"SERV. SUMINISTRO ANTEOJOS OPTICOS 10031731";"CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARROLO SOCIAL CORMUP";"71.234.100-9";"CORPORACION MUNICIPAL DE PENALOLEN PARA EL DESARRO";"AVDA. ORIENTALES N°6958";"Peñalolén";"Región Metropolitana de Santiago";"LP";"Publicada";"SEGUN BASES DE LICITACION ADJUNTA";2025-04-09T14:41:56.79;2025-05-05T15:30:00;2025-06-03T23:59:00;126900000;"CLP";0;0
2963-20-LQ25;"CONTRATACIÓN DEL SERVICIO DE FOTOCOPIADO IMPRESIÓN Y DIGITALIZACION PARA LA ILUSTRE MUNICIPALIDAD DE LA GRANJA";"I MUNICIPALIDAD DE LA GRANJA";"69.072.400-6";"SECPLA";"Americo Vespucio 002";"La Granja";"Región Metropolitana de Santiago";"LQ";"Publicada";"Las presentes bases administrativas están referidas a la licitación pública denominada CONTRATACIÓN DEL SERVICIO DE FOTOCOPIADO, IMPRESIÓN Y DIGITALIZACION PARA LA ILUSTRE MUNICIPALIDAD DE LA GRANJA";2025-04-09T14:11:10.42;2025-05-02T15:01:00;2025-05-28T18:00:00;;"CLP";0;0
799512-23-LE25;"SERVICIO PARA RETIRO DE RILES 2025";"CORP MUNICIPAL DE VALPARAISO PARA EL DESARROLLO SOCIAL";"70.859.400-8";"Corporación";"ELEUTERIO RAMIREZ 455 // CON SALVADOR DONOSO";"Valparaíso";"Región de Valparaíso";"LE";"Publicada";"Contratar el servicio de succión y retiro de residuos acumulados en fosas sépticas de alcantarillado particular y cámaras desgrasadoras de la Corporación Municipal de Valparaíso usando para ello con camiones especializados y plantas de tratamiento certificadas por un período de 12 meses cuyas características y requisitos técnicos constan en las Bases Administrativas y Técnicas de esta Licitación con sus respectivos anexos.";2025-04-09T11:27:15.773;2025-05-05T15:00:00;2025-05-12T15:30:00;7300000;"CLP";0;0
