codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
1380-367-LE24;"Propuesta Pública N° 567 DEL 2024 denominada “ADQUISICIÓN DE PORTA OBJETO”";"HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA";"61.602.232-6";"HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA";"";"";"Región de la Araucanía";"LE";"Suspendida";"Las presentes bases se refieren a las condiciones y características técnicas requeridas para adquirir PORTA OBJETO, en adelante: “los Insumos” por el periodo de dieciocho (18) meses, todo en concordancia al Plan Compras y Contrataciones año 2024 (PAC), Bases Administrativas y Técnicas, Requerimientos técnicos, detallados en el Anexo Nº 1 y otros anexos que constituyen el referido llamado a licitación.";2024-12-31T11:47:11.84;2025-01-10T15:00:00;2025-04-10T17:00:00;13000000;"CLP";0;0
745915-3-LQ25;"Contrato de suministro de buses de acercamiento";"CORP.MUNICIPAL GABRIEL GONZALEZ VIDELA DE LA SERENA";"70.892.100-9";"Área Administración Educación";"Ánima de Diego 550";"La Serena";"Región de Coquimbo";"LQ";"Suspendida";"La Corporación Municipal Gabriel González Videla, a través del Departamento de Educación requiere con-tratar el servicio de buses de acercamiento para los Establecimientos Educacionales Rurales pertenecientes a la Corporación Municipal de La Serena, en el período marzo a diciembre del año 2025.";2025-02-25T12:35:13.123;2025-03-17T16:00:00;2025-04-16T16:30:00;190500000;"CLP";0;0
1057472-29-LR25;Servicio de traslado Básico de Pacientes HEC;HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA;61.980.320-5;Bienes y Servicios;Camino Rinconada N1201;Maipú;Región Metropolitana de Santiago;LR;Publicada;El Hospital El Carmen Dr. Luis Valentín Ferrada, requiere el Servicio de Traslado Básico de Pacientes Diurno y Nocturno;2025-03-18T11:47:00;2025-04-17T16:00:00;2025-06-18T16:00:00;;CLP;0;0
4127-22-LR25;[PPTO] Servicio Oxigenoterapia GES y NO GES domici;SUBSECRETARIA DE SALUD PUBLICA;61.975.700-9;Subsecretaria de Redes Asistenciales;Mac Iver 541;Santiago;Región Metropolitana de Santiago;LR;Publicada;Servicio de oxigenoterapia, insumos y servicios accesorios para la entrega de oxigenoterapia ambulatoria vinculados a patologías respiratorias GES y no GES, entregados en el domicilio de pacientes tanto adultos como niños en todos los servicios de salud del país;2025-03-28T17:32:17.193;2025-04-28T15:00:00;2025-05-09T23:59:00;;CLP;0;0
732425-1-LE25;DISPENSADORES Y PURIFICADORES DE AGUA POTABLE;CORP ADMINISTRATIVA DEL PODER JUDICIAL;60.301.001-9;Jdo de Garantia de Puente Alto;Avda. Concha y Toro 1723;Puente Alto;Región Metropolitana de Santiago;LE;Publicada;ENTREGA DE DISPENSADORES Y PURIFICADORES DE AGUA POTABLE EN COMODATO PARA EL JUZGADO DE GARANTIA DE PUENTE ALTO;2025-04-07T11:05:07.797;2025-04-22T16:00:00;2025-04-30T14:00:00;;CLP;0;0
3381-9-LE25;"Mantenimiento de bombas y pozos de agua";"COMANDO DE APOYO A LA FUERZA";"75.245.100-1";"Regimiento Escolta Presidencial N° 1 Granaderos";"Avenida Larraguibel S/N San Isidro/Quillota";"Quillota";"Región de Valparaíso";"LE";"Suspendida";"Servicio de mantenimiento mensual por 12 meses de las bombas y pozos profundos de captación de agua del Regimiento Escolta Presidencial N° 1 “Granaderos”. conforme a requerimientos técnicos";2025-04-04T11:34:43.517;2025-04-15T09:30:00;2025-04-21T17:00:00;54000000;"CLP";0;0
438-25-LR25;Adquisición de Cámaras y Sistema de Televigilancia;I MUNICIPALIDAD DE SAN RAMON;69.253.900-1;Secretaria de Planificación San Ramón;Avenida Ossa 1771;San Ramón;Región Metropolitana de Santiago;LR;Publicada;Adquisición e instalación de 602 cámaras y 145 parlantes disuasivos, distribuidos en 145 puntos de tele protección, red de transporte de señal hibrida, software y hardware necesarios para la correcta operación del sistema, equipos para sala de monitoreo para la correcta operación del sistema de televigilancia.;2025-04-02T19:11:05.18;2025-05-05T15:00:00;2025-06-05T13:23:00;;CLP;0;0
4642-24-LE25;"Mantención Preventiva de Extintores Portátiles Ubicados en diferentes Centros médicos de Salud de Carabineros: CRICAR CESFAMHOSCAR ESFOCAR ESCAR PREFECTURA SUR y ESUCAR.";"DIRECCION DE LOGISTICA DE CARABINEROS";"60.514.000-9";"Fondos Hospitales";"Valencia Nro. 2430";"Ñuñoa";"Región Metropolitana de Santiago";"LE";"Suspendida";"Rex N°373,21.03.25 Aprobatoria de bases para el Servicio de Mantención preventiva de Extintores Portátiles,para Centro de Rehabilitación Integral de Carabineros (CRICAR),Centro de Salud Familiar Sant.Occidente (CESFAM), Hospital de Carabineros, Consultorio ESFOCAR, CMD ESCAR,Consul. Pref. Sur y Consul.ESUCAR.(según detalle: cantidades, direcciónes en bases adjuntas) SOL. 2500586 CDP 207-25";2025-03-27T15:46:04.377;2025-04-07T16:00:00;2025-04-28T17:30:00;;"CLP";0;0
3485-3-LE25;"EQUIPOS INFORMÁTICOS SP N° 226";"I MUNICIPALIDAD DE NUEVA IMPERIAL";"69.190.400-8";"Unidad De Adquisiciones";"Pinto 441";"Nueva Imperial";"Región de la Araucanía";"LE";"Suspendida";"ADQUISICIÓN DE EQUIPOS INFORMÁTICOS PARA DEPENDENCIAS MUNICIPALES.";2025-03-24T13:10:14.88;2025-03-31T15:40:00;2025-04-28T16:15:00;15000000;"CLP";0;0
4290-31-LR25;"Cont. Serv. recolección residuos domiciliarios";"I MUNICIPALIDAD DE LIMACHE";"69.061.100-7";"Secpla - MUNICIPALIDAD LIMACHE";"Palmira Romano Sur Nº 340";"Limache";"Región de Valparaíso";"LR";"Suspendida";"Contratación servicio de recolección, transporte a disposición final de residuos domiciliarios y limpieza, barrido de calles y veredas de la comuna de Limache.";2025-03-03T11:36:04.763;2025-04-04T12:00:00;2025-04-30T14:00:00;;"CLP";0;0
