codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
1058134-105-LE24;"CONVENIO SONDAS PARA HIBRIDACIÓN IN SSITU II CITOG";"SERVICIO DE SALUD VALDIVIA HOSPITAL BASE";"61.607.502-0";"Fármarcos";"Bienes y Servicios";"Valdivia";"Región de Los Ríos";"LE";"Adjudicada";"“CONVENIO SUMINISTRO DE SONDAS PARA HIBRIDACIÓN IN SITU II PARA CITOGENÉTICA DE ANATOMIA PATOLOGICA DEL HOSPITAL BASE VALDIVIA”";2024-11-12T11:50:00;2024-11-22T19:00:00;2025-03-31T23:51:21.07;49000000;"CLP";0;0
3958-17-L125;"Ruta 2 transporte escolar DAEM (abril, mayo y junio 2025)";"I MUNICIPALIDAD DE NAVIDAD";"69.073.800-7";"Unidad de Educacion";"Juan Montes #693 Liceo Pablo Neruda";"Navidad";"Región del Libertador General Bernardo O´Higgins";"L1";"Adjudicada";"Ruta 2 transporte escolar DAEM (abril, mayo y junio 2025). Se establece posibilidad de renovación de Orden de Compra.";2025-03-22T13:52:29.84;2025-03-27T20:08:00;2025-03-31T19:06:02.83;6700000;"CLP";0;0
3693-66-LE25;"ADQUISICIÓN DE EQUIPAMIENTO PARA SALA DE ENLACE";"I MUNICIPALIDAD DE EL QUISCO";"69.061.700-5";"Departamento SECPLA";"Avenida Francia 011";"El Quisco";"Región de Valparaíso ";"LE";"Adjudicada";"ADQUISICIÓN DE EQUIPAMIENTO PARA SALA DE ENLACE DE COLEGIO EL QUISCO";2025-03-13T09:38:00;2025-03-24T15:10:00;2025-03-31T19:31:25.08;;"CLP";0;0
3958-16-L125;"Transporte Escolar Ruta 1 (abril, mayo y junio 2025)";"I MUNICIPALIDAD DE NAVIDAD";"69.073.800-7";"Unidad de Educacion";"Juan Montes #693 Liceo Pablo Neruda";"Navidad";"Región del Libertador General Bernardo O´Higgins";"L1";"Adjudicada";"Ruta 1 de transporte escolar DAEM (meses abril, mayo y junio de 2025) Considera prórroga de convenio con posibilidad de emisión de nueva Orden de Compra.";2025-03-22T13:52:02.29;2025-03-27T19:54:00;2025-03-31T19:05:53.55;6700000;"CLP";0;0
3333-9-LE25;"CONTRATACIÓN DE ASESOR TÉCNICO DE OBRAS EN LA OBRA";"I MUNICIPALIDAD DE OLMUE";"69.061.200-3";"Departamento Finanzas-Adquisiones";"Arturo Prat 12";"Olmué";"Región de Valparaíso ";"LE";"Adjudicada";"CONTRATACIÓN DE ASESOR TÉCNICO DE OBRAS EN LA OBRA  “MEJORAMIENTO PAVIMENTACIÓN CALLE PABLO NERUDA, OLMUÉ";2025-03-03T17:59:40.55;2025-03-13T15:50:00;2025-03-31T20:58:45.427;15000000;"CLP";0;0
3704-9-LS25;"Contratacíon de servicios especializados:";"Ilustre Municipalidad de Cabo de Hornos";"69.254.400-5";"Adquisiciones";"O'HIGGINS 189";"Cabo de Hornos";"Región de Magallanes y de la Antártica";"LS";"Adjudicada";"Contratación de Servicios Especializados: servicio de asesoría informática de acuerdo a lo establecido en las bases administrativas y sus anexos";2025-02-25T15:58:00;2025-03-21T18:00:00;2025-03-31T18:39:38.54;;"CLP";0;0
2413-17-LE25;"SERVICIO ARRENDAMIENTO DE VEHÍCULO PARA GESTIÓN DIDECO";"I MUNICIPALIDAD DE LO PRADO";"69.254.100-6";"SECRETARIA PLANIFICACION COMUNAL";"AVENIDA SAN PABLO 5959";"Lo Prado";"Región Metropolitana de Santiago";"LE";"Adjudicada";"La Municipalidad de Lo Prado requiere contratar el servicio arriendo de un vehículo con capacidad de carga mínima de 820 kilos, incluyendo el conductor, para el retiro de desechos voluminosos por un período de 12 meses.";2025-03-14T14:43:18.99;2025-03-24T15:30:00;2025-03-31T18:31:01.31;29988000;"CLP";0;0
1049-13-LP25;"MAREA ROJAS SECTOR AYSÉN SUR";"INSTITUTO DE FOMENTO PESQUERO";"61.310.000-8";"IFOP";"Blanco 839";"Valparaíso";"Región de Valparaíso ";"LP";"Adjudicada";"SERVICIO DE TRANSPORTE PARA EL PROGRAMA DE MONITOREO E INVESTIGACIÓN DE  MICROALGAS NOCIVAS Y TOXINAS MARINAS (MAREA ROJA) EN FIORDOS DE CHILE (ETAPA XIX) 2025-2026” SECTOR AYSÉN SUR.  Requisición Interna N°49449/2024.";2025-02-04T21:25:11.853;2025-02-24T15:30:00;2025-03-31T18:08:35.84;82200000;"CLP";0;0
3824-8-LE25;"POLERAS PARA CUATRO ESTABLECIMIENTOS EDUCACIONALES";"I MUNICIPALIDAD DE PADRE HURTADO";"69.261.400-3";"Secretaria Comunal de Planificación";"Camino a Melipilla 3295";"Padre Hurtado";"Región Metropolitana de Santiago";"LE";"Adjudicada";"El objetivo es adquirir 2205 poleras para alumnos de los cuatro establecimientos educacionales municipales, para uso en actividades institucionales internas y externas con la finalidad de profundizar y fortalecer el espíritu de pertenencia, con cargo a la Subvención Escolar Preferencial de cada establecimiento.";2025-02-19T16:04:00;2025-03-03T15:05:00;2025-03-31T17:49:36.993;24500000;"CLP";0;0
635-12-LE25;"ADQUISICIÓN DE EXÁMENES DE ECOGRAFÍAS TRANSVAGINALES PARA USUARIOS DEL CENTRO DE SALUD AMBIENTAL S.S.A.P. AÑO 2025 OT N°1855";"SERVICIO DE SALUD DE ARICA Y PARINACOTA";"61.606.000-7";"SERVICIO DE SALUD DE ARICA";"DEPENDENCIAS DEL SSA";"Arica";"Región de Arica y Parinacota";"LE";"Adjudicada";"Debe presentar el valor total neto o valor total exento del servicio solicitado y expresado en pesos chilenos (ingresar valor neto si es afecto a IVA o incluido el 14.5% para el año 2025 respectivamente, si es honorario) para el Ítem.";2025-01-24T11:48:44.717;2025-02-03T15:30:00;2025-03-31T17:48:50.997;12800000;"CLP";0;0
2790-20-L125;"MATERIALES DE CONSTRUCCION - DESAM";"I MUNICIPALIDAD DE PAINE";"69.072.600-9";"DEPARTAMENTO DE SALUD MUNICIPAL";"AVDA GENERAL BAQUEDANO N°214";"Paine";"Región Metropolitana de Santiago";"L1";"Adjudicada";"SE REQUIERE LA ADQUISICION DE MATERIALES DE CONSTRUCCION PARA EL MEJORAMIENTO DE LAS INSTALACIONES DEL DEPTO. DE SALUD DE PAINE. S/SOLICITUD DE N°32/05.02.2025.";2025-03-10T16:18:52.13;2025-03-17T15:30:00;2025-03-31T17:46:19.75;6700000;"CLP";0;0
731-3-LQ25;"SERV MANTENIMIENTO DE EQUIPOS DE ALTA COMPLEJIDAD";"SERVICIO NACIONAL DE MENORES";"61.008.000-6";"Ministerio de Justicia - Sename";"facturas.abastecimientodn@sename.cl";"Santiago Centro";"Región Metropolitana de Santiago";"LQ";"Adjudicada";"Las presentes bases contienen las disposiciones técnicas y reglamentarias, y fijan las condiciones que todo oferente debe respetar para la contratación, ejecución y recepción del servicio, denominado “SERVICIO DE MANTENIMIENTO DE EQUIPOS DE ALTA COMPLEJIDAD PARA EL CENTRO METROPOLITANO NORTE, DEPENDIENTE DEL SERVICIO NACIONAL DE MENORES”.";2025-02-10T17:27:32.557;2025-03-05T18:30:00;2025-03-31T17:44:08;;"CLP";0;0
1215-1-LE25;"Servicio de Aseo para las dependencia SernamEG DRM";"SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO";"60.107.000-6";"Dirección Regional Metropolitana";"Huerfanos 669, oficina 509, quinto piso";"Santiago";"Región Metropolitana de Santiago";"LE";"Adjudicada";"CONTRATACIÓN DE SERVICIO DE ASEO PARA LA DEPENDENCIA DE LA DIRECCIÓN REGIONAL METROPOLITANA DEL SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GÉNERO AÑOS 2025-2026-2027.";2025-03-10T20:05:00;2025-03-20T16:30:00;2025-03-31T21:00:49.373;36043416;"CLP";0;0
1213444-9-LE25;"ARRIENDO DE VEHICULOS";"CORP MUNICIPAL SAN FERNANDO PARA LA ATENCION MENORES Y LAS A DE E Y S";"71.328.600-1";"Adquisiciones";"Negrete 743, Pasaje interior";"San Fernando";"Región del Libertador General Bernardo O´Higgins";"LE";"Adjudicada";"Las presentes Bases Administrativas tienen por objeto regular el llamado a Propuesta Pública para adquirir el “SERVICIO DE ARRIENDO DE VEHÍCULOS PARA LOS CENTROS DE SALUD DEPENDIENTES DE LA CORPORACIÓN MUNICIPAL DE SAN FERNANDO” a requerimiento de la misma Corporación Municipal de San Fernando, la que se singulariza en las Bases Administrativas y en las Bases Técnicas de la Propuesta.";2025-03-14T10:54:06.093;2025-03-24T15:01:00;2025-03-31T17:47:44.073;;"CLP";0;0
1305541-4-LP25;"ADQUISICIÓN DE BATERÍAS PIE PARA LOS ESTABLECIMIENTOS EDUCACIONALES DEL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE LOS LIBERTADORES";"SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LOS LIBERTADORES";"61.981.060-0";"COMPRAS Y LICITACIONES";"Américo Vespucio N° 2680, piso 7";"Conchalí";"Región Metropolitana de Santiago";"LP";"Adjudicada";"Servicio Local de Educación Pública de Los Libertadores, en adelante Servicio Local, a contar del año 2025, adquiere la calidad jurídica de sostenedor de los establecimientos educacionales ubicados en las municipalidades de Quilicura y Conchalí. Con el objetivo de garantizar el correcto funcionamiento del servicio educativo, se hace necesaria la adquisición de baterías para el Programa de Integración Escolar.";2025-02-10T15:31:14.727;2025-03-03T16:00:00;2025-03-31T20:51:31.317;84748403;"CLP";0;0
618641-5-L125;"PRODUCCION VI FESTIVAL DE JAZZ CASABLANCA";"I MUNICIPALIDAD DE CASABLANCA";"69.061.400-6";"CENTRO CULTURAL";"PORTALES 02. CASABLANCA";"Casablanca";"Región de Valparaíso ";"L1";"Adjudicada";"SERVICIO DE PRODUCCION DE EVENTO DEL VI FESTIVAL DE JAZZ CASABLANCA Y 02 ACTIVIDADES DE EXTENSION EN TERRITORIO.-";2025-03-19T16:46:19.277;2025-03-24T15:00:00;2025-03-31T17:34:14.053;3690000;"CLP";0;0
4777-26-L125;"SERVICIO DE TRASLADO DE PERSONAL";"I MUNICIPALIDAD DE LA UNION";"69.200.800-6";"Dirección de Adm. y Finanzas";"Bodega Camilo Henriquez S/N";"La Unión";"Región de Los Ríos";"L1";"Adjudicada";"LA NECESIDAD DE CONTRATAR SERVICIO DE PERSONAL DEL ELEAM SANTA ELISA";2025-03-19T16:14:00.72;2025-03-25T17:29:00;2025-03-31T17:34:13.797;;"CLP";0;0
