codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
1080095-6-LQ25;"SERVICIO DE ALIMENTACIÓN HOGARES PROTEGIDOS";"SERVICIO DE SALUD MAGALLANES";"61.607.900-k";"Bienes y servicios - PSIQ";"Lautaro Navarro N° 829";"Punta Arenas";"Región de Magallanes y de la Antártica";"LQ";"Cerrada";"Requiere contratar el suministro de servicio de alimentación, para los usuarios de los Hogares Protegidos, por un periodo de 157 días corridos. El Servicio de Alimentación, requiere la entrega de desayunos, almuerzos, onces y cenas, de lunes a domingo, incluye los días feriados, el servicio no se puede interrumpir. El servicio, podría aumentar, disminuir o incluso cesar dicho servicio según las condiciones sanitarias o externas.";2025-03-20T16:36:42.6;2025-03-31T19:52:00;2025-05-30T19:53:00;;"CLP";0;0
3754-8-LE25;"Adquisición de Servicios de Examen de Mamografia";"I MUNICIPALIDAD DE CANELA";"69.041.300-0";"SALUD";"Luis Infante 520 Canela";"Canela";"Región de Coquimbo ";"LE";"Cerrada";"Adquisición de Servicios de Examen de Mamografías de Acuerdo a Programa Imagnes Diagnosticas 2025";2025-03-19T20:42:00;2025-03-31T19:52:00;2025-04-05T15:00:00;;"CLP";0;0
5350-10-LE25;"Suministros de insumos Dentales";"I MUNICIPALIDAD DE VALLENAR";"69.030.500-3";"DEPTO DE SALUD MUNICIPAL";"Calle Merced Esquina Talca N°1455 - Ex Hospital";"Vallenar";"Región de Atacama ";"LE";"Cerrada";"Adquisición de Insumos Dentales para los establecimientos de Salud APS";2025-03-21T17:26:19.617;2025-03-31T19:51:00;2025-04-01T19:52:00;9000000;"CLP";0;0
2263-22-LE25;"Módulos de Vigas Metálicas de 12 metros para la  Unidad de Puentes";"MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF";"61.202.000-0";"Dirección de Vialidad - IX Región - Provincia de Malleco";"Lautaro 17";"Angol";"Región de la Araucanía ";"LE";"Cerrada";"Módulos de Vigas Metálicas de 12 metros para la  Unidad de Puentes";2025-03-20T13:11:15.693;2025-03-31T19:52:00;2025-04-01T19:53:00;47000000;"CLP";0;0
4883-11-LE25;"Servicios de Producción Integral P. Red Cultura";"SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES";"65.523.750-k";"Consejo Regional de la Cultura y las Artes Valparaíso";"";"";"Región de Valparaíso ";"LE";"Cerrada";"Servicios de Producción Integral, para el desarrollo de iniciativas del Programa Red Cultura 2025, región de Valparaíso";2025-03-19T12:52:40.647;2025-03-31T19:51:00;2025-04-25T19:52:00;;"CLP";0;0
1058134-30-LE25;"CONV SUMINISTRO MEDICAMENTO PEMBROLIZUMAB 100MG4ML";"SERVICIO DE SALUD VALDIVIA HOSPITAL BASE";"61.607.502-0";"Fármarcos";"Bienes y Servicios";"Valdivia";"Región de Los Ríos";"LE";"Cerrada";"CONVENIO SUMINISTRO DE MEDICAMENTO PEMBROLIZUMAB 100 MG4ML PARA EL HOSPITAL BASE VALDIVIA";2025-03-25T15:33:22.92;2025-03-31T19:00:00;2025-06-24T19:59:00;66466260;"CLP";0;0
599-16-LQ25;"Servicios de Vigilancia Dependencias JUNJI";"JUNTA NACIONAL DE JARDINES         INFANTILES";"70.072.600-2";"JUNTA NACIONAL DE JARDINES         INFANTILES";"Morandé 226";"Santiago";"Región Metropolitana de Santiago";"LQ";"Cerrada";"El detalle del servicio requerido se encuentra descrito en las BASES TÉCNICAS para el “SERVICIO DE GUARDIAS DE SEGURIDAD POR 24 MESES PARA DEPENDENCIAS UBICADAS EN COMUNA DE PROVIDENCIA DE LA JUNTA NACIONAL DE JARDINES INFANTILES”. El cual es contratar el servicio de Guardias de Seguridad para las dependencias de Marchant Pereira 726 y Darío Urzúa 1938 de la Comuna de Providencia, Región Metropolitana. En este contexto se invita a personas naturales, jurídicas y Uniones Temporales de Proveedores, a formular ofertas conformes a lo dispuesto en las presentes Bases Administrativas, Técnicas y Anexos.";2025-03-11T16:01:51.793;2025-03-31T18:00:00;2025-05-06T18:00:00;;"CLP";0;0
1573-6-LE25;"MANT Y REPARACIÓN DE ELEVADORES SC 57132";"JUNTA NACIONAL DE JARDINES         INFANTILES";"70.072.600-2";"Junji - II Región";"SUCRE Nº 524";"Antofagasta";"Región de Antofagasta ";"LE";"Cerrada";"La Junta Nacional de Jardines Infantiles Antofagasta, JUNJI, a través de la Subdirección de Cobertura y Habilitación de Espacios Educativos de la Dirección Regional de Antofagasta requiere la contratación del servicio denominado: MANTENCIÓN, REPARACIÓN Y MEJORAMIENTO DE ELEVADORES DE JARDINES INFANTILES Y EDIFICIO DE DIRECCIÓN REGIONAL 2025-2026” PERTENECIENTES A LA JUNTA NACIONAL DE JARDINES INFANTILES DE LA REGIÓN DE ANTOFAGASTA.";2025-03-21T09:31:06.357;2025-03-31T18:00:00;2025-04-21T15:00:00;23820240;"CLP";0;0
1660-32-LE25;"MANTENCION PREVENTIVA Y CORRECTIVA REFRIGERADORES";"SERVICIO SALUD COQUIMBO HOSP DE SALAMANC";"61.606.408-8";"SERVICIO SALUD COQUIMBO HOSP DE SALAMANC";"AVENIDA INFANTE N°891";"Salamanca";"Región de Coquimbo ";"LE";"Cerrada";"SE REQUIERE: MANTENCIÓN PREVENTIVA Y CORRECTIVA REFRIFERADORES DE VACUNATORIO,LABORATORIO Y FARMACIA. SE ADJUNTAN BASES ADMINISTRATIVAS Y TECNICAS. SE ADJUNTAN FORMULARIOS EDITABLES REQUIRENTE:JEFE DE MANTENCIÓN";2025-03-19T16:19:17.587;2025-03-31T18:42:00;2025-04-25T18:43:00;;"CLP";0;0
4294-5-LR25;"SERVICIO DE EXÁMENES DE LABORATORIO CLÍNICO Y TOMA DE MUESTRA ";"COMANDO DE APOYO A LA FUERZA";"65.077.010-2";"Jefatura Ejecutiva de Administración de los Fondos de Salud";"Av. Libertador Bernando O'Higgins N 1449 TORRE 3 PISO 7";"Santiago";"Región Metropolitana de Santiago";"LR";"Cerrada";"SERVICIO DE EXÁMENES DE LABORATORIO CLÍNICO Y TOMA DE MUESTRA";2025-02-27T16:15:56.987;2025-03-31T18:00:00;2025-04-26T16:00:00;1000000000;"CLP";0;0
