codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
761391-38-L125;"DE/41/GUB/LFM/DIPLOMADO EN DIRECCIÓN ESTRATÉGICA DE PROYECTOS EDUCATIVOS";"FUERZA AEREA DE CHILE COMANDO LOGISTICO";"61.103.032-0";"Base Aérea El Bosque";"GRAN AVENIDA 11087, PARADERO 37";"El Bosque";"Región Metropolitana de Santiago";"L1";"Desierta (o art. 3 ó 9 Ley 19.886)";"DE/41/GUB/LFM/DIPLOMADO EN DIRECCIÓN ESTRATÉGICA DE PROYECTOS EDUCATIVOS SE ADJUNTA BASES TÉCNICAS, Y ANEXOS EDITABLES";2025-02-19T11:34:36.997;2025-02-26T15:00:00;2025-04-09T20:00:00;4810625;"CLP";0;0
1499-56-LE25;"Test de Esfuerzo Cardiopulmonar";"INSTITUTO NACIONAL DEL TORAX";"61.608.402-k";"INSTITUTO NACIONAL DEL TORAX";"José Manuel Infante  717";"Providencia";"Región Metropolitana de Santiago";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"Las presentes Bases de Licitación tienen por objeto la contratación de exámenes, de conformidad con lo señalado en las presentes bases, para así poder cumplir de manera continua la labor asistencial que ha sido encomendada a esta institución de salud, respondiendo oportunamente a los requerimientos que establece el régimen de garantías explícitas en salud.";2025-02-20T17:02:45.643;2025-03-03T18:00:00;2025-04-09T18:00:00;14994000;"CLP";0;0
1624-3-L125;"Control Dosimetrico personal  del Establecimiento";"SERVICIO DE SALUD HOSPITAL DE NANCAGUA";"61.602.147-8";"Hospital de Nancagua";"18 de septiembre 464 Nancagua";"Nancagua";"Región del Libertador General Bernardo O´Higgins";"L1";"Desierta (o art. 3 ó 9 Ley 19.886)";"El Hospital de Nancagua, dentro de su cartera de Servicios, cuenta con Unidad de Rayos, equipo operado por personal capacitado en la toma de imágenes. Por esta razón, se requiere la provisión de dosímetros con su respectiva lecturas dosimétricas para medir la cantidad de radiación recibida por el Personal Ocupacionalmente Expuesto (POE) Rax y Rx Dental con la finalidad de mejorar la seguridad de los trabajadores de dicha unidad.";2025-04-01T17:56:14.79;2025-04-07T19:52:00;2025-04-09T19:52:00;;"CLP";0;0
2366-145-LE24;"ADQUISICION VITAMINA ACD 30ML 2500UI  400UI GOTA";"I MUNICIPALIDAD DE ARICA";"69.010.100-9";"SERVICIO MUNICIPAL DE SALUD";"Patricio Lynch N° 236";"Arica";"Región de Arica y Parinacota";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"ADQUISICION VITAMINA ACD 30ML, 2500UI  400UI GOTAS, MEMO 275 DROGUERIA CENTRAL";2024-08-14T17:23:46.583;2024-08-26T16:05:00;2025-04-09T16:31:24.88;42840000;"CLP";0;0
2251-2-LE25;"Servicio de transporte ETA 2025";"DIRECCION GENERAL DE AERONAUTICA CIVIL";"61.104.000-8";"UNIDAD DE COMPRA ESCUELA TECNICA DE AERONAUTICA";"";"";"Región Metropolitana de Santiago";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"La necesidad de la Escuela Técnica Aeronáutica de contratar servicio de transporte por el año 2025, para mas detalles de lo requerido favor de revisar Bases de Licitación, Bases Administrativas, Bases Técnicas, Pauta de Evaluación, Anexos y toda documentación disponible como anexo en adjuntos de la presente licitación. E102RT9.";2025-03-25T21:28:34.247;2025-04-04T15:00:00;2025-04-09T16:26:13.677;46818886;"CLP";0;0
5083-14-LE25;"CONTRATO DE SUMINISTRO DE TORNILLOS 2.0 Y CANULADOS 3.5 CON CABEZA";"SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO";"61.606.903-9";"Unidad Pròtesis";"CHACABUCO 121 CURICO";"Curicó";"Región del Maule";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"El Hospital San Juan de Dios de Curicó, requiere suscribir un contrato de suministro de tornillos 2.0 y canulados 3.5 con cabeza para el Servicio de traumatología, a objeto de satisfacer adecuadamente la demanda de estos.";2025-03-05T18:56:00;2025-03-21T15:00:00;2025-04-09T17:47:11.17;;"CLP";0;0
2424-350-L124;"NEUMATICOS - 5461 - (S.R.R.)";"I MUNICIPALIDAD DE VINA DEL MAR";"69.061.000-0";"I MUNICIPALIDAD DE VINA DEL MAR";"JARDIN INFANTIL  TIA MICHELLE  , AVENIDA VIÑA DEL MAR S/N POBLACION PUERTO MONTT, FORESTAL";"Viña del Mar";"Región de Valparaíso";"L1";"Desierta (o art. 3 ó 9 Ley 19.886)";"Ped. N° 111 - 5461 Depto. De Mantención y Reparación de Veh. Y Maq. Pesada (s.r.r.)";2024-11-15T17:22:11.68;2024-11-22T15:30:00;2025-04-09T13:39:59.423;5600000;"CLP";0;0
752-7-LE25;"Servicio de Telefonía e Internet móvil";"GOBIERNO REGIONAL DECIMA REGION LOS LAGOS";"72.221.800-0";"Gobierno Regional de Los Lagos";"Avda. Décima Región #480, 4to Piso C.A.R.";"Puerto Montt";"Región de los Lagos";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"El Gobierno Regional de Los Lagos requiere contratar el Servicio de Telefonía e Internet móvil, el cual tiene como objetivo la provisión de servicios con visión de futuro, considerando tecnologías vigentes, tendencias y soluciones que estén incorporadas en los actuales sistemas de comunicación.";2025-03-17T15:45:28.57;2025-03-27T15:30:00;2025-04-09T16:08:22.38;;"CLP";0;0
1343645-7-LE25;"Profesional Geógrafo o Ingeniero Ambiental";"I MUNICIPALIDAD DE O HIGGINS";"69.253.500-6";"SECPLAN";"Lago Christie 121";"O Higgins";"Región Aysén del General Carlos Ibáñez del Campo";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"La Ilustre Municipalidad de O Higgins requiere contratar los servicios de un Profesional en el área de Geografía o Ingeniería Ambiental para desempeñarse en el apoyo y gestiones pertinentes al “Plan de Acción Comunal de Cambio Climático PACCC";2025-03-25T16:38:40.263;2025-04-04T15:30:00;2025-04-09T13:09:18.677;10000000;"CLP";0;0
3202-6-LE25;"SERVICIO DE MANTENCIÓN DE TECHUMBRES";"DIRECCION DE ABASTECIMIENTO DE LA ARMADA";"61.102.120-8";"GOBERNACION MARITIMA DE CASTRO";"CALLE PEDRO MONTT Nº 85";"Castro";"Región de los Lagos";"LE";"Desierta (o art. 3 ó 9 Ley 19.886)";"REALIZAR EL SERVICIO DE MANTENCIÓN Y REPARACIÓN DE TECHUMBRES DEL CASINO DE OFICIALES DE LA GOBERNACIÓN MARÍTIMA DE CASTRO, UBICADO EN CALLE SAN MARTIN N 715, CASTRO.";2025-03-27T11:55:48.777;2025-04-07T16:00:00;2025-04-09T13:04:42.493;7000000;"CLP";0;0
