codigo;estado_original;estado_actual;estado_mapeado
1214102-18-LP25;Publicada;Publicada;publicada
4768-21-LQ25;Publicada;Publicada;publicada
5251-64-CO25;Publicada;Cerrada;cerrada
1426037-9-LE25;Publicada;Publicada;publicada
2591-65-LQ25;Publicada;Publicada;publicada
2309-70-LE25;Publicada;Publicada;publicada
188-22-LE25;Publicada;Publicada;publicada
1075963-147-LE25;Publicada;Publicada;publicada
4447-7-LQ25;Publicada;Publicada;publicada
3453-22-LE25;Publicada;Publicada;publicada
1057389-49-LP25;Publicada;Publicada;publicada
1058078-20-LE25;Publicada;Publicada;publicada
2704-19-LP25;Publicada;Publicada;publicada
886954-119-LP25;Publicada;Publicada;publicada
2366-12-LE25;Publicada;Publicada;publicada
3976-18-L125;Publicada;Publicada;publicada
564953-61-LP25;Publicada;Publicada;publicada
2981-43-LE25;Publicada;Publicada;publicada
2146-14-LE25;Publicada;Publicada;publicada
3660-5-LP25;Publicada;Publicada;publicada
1057370-12-LQ25;Publicada;Publicada;publicada
2505-1-LE25;Publicada;Publicada;publicada
3709-33-LE25;Publicada;Publicada;publicada
2928-9-LQ25;Publicada;Publicada;publicada
621921-7-LQ25;Publicada;Publicada;publicada
591-5-LE25;Publicada;Publicada;publicada
1051765-2-LE25;Publicada;Publicada;publicada
2677-14-LE25;Publicada;Publicada;publicada
3841-13-LE25;Publicada;Publicada;publicada
3797-25-LE25;Publicada;Publicada;publicada
604944-2-LE25;Publicada;Publicada;publicada
3436-35-LQ25;Publicada;Publicada;publicada
1057539-83-LQ25;Publicada;Publicada;publicada
1114-16-LE25;Publicada;Publicada;publicada
3336-6-LE25;Publicada;Publicada;publicada
3656-73-LE25;Publicada;Publicada;publicada
2961-22-LE25;Publicada;Publicada;publicada
1291-15-LE25;Publicada;Publicada;publicada
3326-27-LE25;Publicada;Publicada;publicada
2986-26-LE25;Publicada;Publicada;publicada
1641-174-LP25;Publicada;Publicada;publicada
4486-15-LR25;Publicada;Publicada;publicada
812030-1-LP25;Publicada;Publicada;publicada
4726-4-LE25;Publicada;Publicada;publicada
1199-31-LE25;Publicada;Publicada;publicada
1628-3-LE25;Publicada;Publicada;publicada
2735-55-LR25;Publicada;Publicada;publicada
1426397-16-LE25;Publicada;Publicada;publicada
3976-16-L125;Publicada;Publicada;publicada
3527-7-LE25;Publicada;Publicada;publicada
1952-32-LP25;Publicada;Publicada;publicada
677-4-LE25;Publicada;Publicada;publicada
1380-93-LR25;Publicada;Publicada;publicada
1035-2-LE25;Publicada;Publicada;publicada
813-33-LE25;Publicada;Publicada;publicada
5184-285-LP24;Publicada;Publicada;publicada
1973-37-LE25;Publicada;Publicada;publicada
3706-35-LQ25;Publicada;Publicada;publicada
538598-10-LQ25;Publicada;Publicada;publicada
2176-16-LR25;Publicada;Publicada;publicada
514862-32-LP25;Publicada;Publicada;publicada
1092-2-LE25;Publicada;Publicada;publicada
1069-5-LQ25;Publicada;Publicada;publicada
1057678-2-LE25;Publicada;Cerrada;cerrada
5251-63-LE25;Publicada;Publicada;publicada
411-23-LE25;Publicada;Publicada;publicada
769-51-LE25;Publicada;Publicada;publicada
2963-20-LQ25;Publicada;Publicada;publicada
5184-50-LE25;Publicada;Publicada;publicada
3073-16-LE25;Publicada;Publicada;publicada
2305-1-LE25;Publicada;Publicada;publicada
4922-5-LE25;Publicada;Publicada;publicada
1002592-1-LE25;Publicada;Publicada;publicada
1079516-12-LE25;Publicada;Cerrada;cerrada
2436-23-LE25;Publicada;Publicada;publicada
3623-12-LP25;Publicada;Publicada;publicada
1697-8-LE25;Publicada;Publicada;publicada
1220203-15-LE25;Publicada;Publicada;publicada
621-339-LQ25;Publicada;Publicada;publicada
438-28-LE25;Publicada;Publicada;publicada
611134-4-LE25;Publicada;Publicada;publicada
507428-62-LE25;Publicada;Publicada;publicada
3874-11-LE25;Publicada;Publicada;publicada
807-12-LP25;Publicada;Publicada;publicada
2440-67-L125;Publicada;Publicada;publicada
1380-94-LP25;Publicada;Publicada;publicada
1062018-4-LE25;Publicada;Publicada;publicada
867990-27-LE25;Publicada;Publicada;publicada
2440-68-L125;Publicada;Publicada;publicada
712307-23-LE25;Publicada;Publicada;publicada
2258-77-LQ25;Publicada;Publicada;publicada
2709-49-LE25;Publicada;Publicada;publicada
3880-35-LQ25;Publicada;Publicada;publicada
4707-20-L125;Publicada;Publicada;publicada
886954-151-LP25;Publicada;Publicada;publicada
1058094-5-LQ25;Publicada;Publicada;publicada
799512-23-LE25;Publicada;Publicada;publicada
2021-4-LE25;Publicada;Publicada;publicada
2308-37-LR25;Publicada;Publicada;publicada
2107-48-LP25;Publicada;Publicada;publicada
