codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
5251-64-CO25;Equipamiento Laboratorio de área estructuras de la carrera de ingeniería civil en obras civiles;UNIVERSIDAD TECNOLOGICA METROPOLITANA;70.729.100-1;DEPARTAMENTO DE ABASTECIMIENTO;Calle Dieciocho N178, Santiago;Santiago;Región Metropolitana de Santiago;CO;cerradas;Se requiere adquirir Equipamiento Laboratorio de área estructuras de la carrera de ingeniería civil en obras civiles la compra del equipamiento es para el nuevo Laboratorio de área de estructuras de la carrera de ingeniería civil en obras civiles que beneficiará el aprendizaje en las asignaturas.;2025-04-09T18:48:23.73;2025-04-15T20:00:00;2025-05-16T16:30:00;15100000;CLP;0;0
1202333-35-LE25;CONTRATO DE SUMINISTRO EXTRACCION DE AGUA;I MUNICIPALIDAD DE QUINTERO;69.060.700-K;LICITACIONES;NORMANDIE 1916 QUINTERO;Quintero;Región de Valparaíso;LE;cerradas;CONTRATO DE SUMINISTRO PARA EL SERVICIO DE EXTRACCION DE AGUA LLUVIA DESDE DIFERENTES AREAS AFECTADAS POR UNUNDACIONES EN LA COMUNA DE QUINTERO 2025;2025-04-09T18:04:00;2025-04-15T15:00:00;2025-04-16T19:52:00;;CLP;0;0
2678-6-LE25;MATERIALES Y UTILES ESCOLARES AÑO 2025- MOSTAZAL;I MUNICIPALIDAD DE MOSTAZAL;69.080.500-6;Departamento de Educación;DAEM MOSTAZAL Calle Riquelme 65. Esquina de referencia: San Guillermo con Riquelme;Mostazal;Región del Libertador General Bernardo OHiggins;LE;cerradas;SE REQUIERE DE LA ADQUISICIÓN DE UTILES Y MATERIALES ESCOLARES PARA LOS ESTABLECIMIENTOS EDUCACIONALES DE LA COMUNA DE MOSTAZAL QUE ESTÁN INCLUIDOS EN LA PRESENTE LICITACIÓN. ESTOS MATERIALES VAN EN APOYO DIRECTO DE LOS ESTUDIANTE QUE INTEGRAN CADA ESTABLECIMIENTO EDUCATIVO DE LA COMUNA.;2025-04-09T17:54:50.3;2025-04-14T19:00:00;2025-04-25T17:00:00;;CLP;0;0
1298354-7-LE25;Arriendo de Camión de Transporte.;CORP MUNICIPAL MELIPILLA PARA LA ED SALUD;71.293.900-1;EDUCACION;pasaje Eleuterio Ramirez S/n;Melipilla;Región Metropolitana de Santiago;LE;cerradas;La contratación tiene por objetivo contar con el servicio de arriendo de camión de transporte, para el traslado de personal, herramientas y materiales, para dar mantenimiento a los distintos establecimientos educacionales dependientes de la Corporación Municipal de Melipilla, a fin de mantener en buen estado las instalaciones de dichas casas de estudio.;2025-04-09T17:40:10.613;2025-04-14T18:01:00;2025-04-30T18:00:00;;CLP;0;0
3976-18-L125;BATERIAS PSICOPEDAGOGICAS PARA ESCUELA CACIQUE LEVIAN;I MUNICIPALIDAD DE SANTA BARBARA;69.170.201-4;Departamento De Educacion Municipal;Arturo Prat N 121 Santa Bárbara;Santa Bárbara;Región del Biobío;L1;cerradas;BATERIAS PSICOPEDAGOGICAS PARA EVALUACION DIAGNOSTICA INTEGRAL DE LOS ALUMNOS ESCUELA CACIQUE LEVIAN DAEM DE LA COMUNA DE SANTA BARBARA;2025-04-09T17:37:45.82;2025-04-16T17:29:00;2025-04-28T17:30:00;1350000;CLP;0;0
438-31-LE25;CONTRATO DE SUMINISTRO SERVICIO DE IMAGENOLOGIA ECOTOMOGRAFIA ABDOMINAL;I MUNICIPALIDAD DE SAN RAMON;69.253.900-1;Secretaria de Planificación San Ramón;Avenida Ossa 1771;San Ramón;Región Metropolitana de Santiago;LE;cerradas;ESTA PROPUESTA CONSISTE EN CONTRATAR LOS SUMINISTROS DE SERVICIO DE IMAGENOLOGIA, ECOTOMOGRAFIA ABDOMINAL;2025-04-09T16:39:45.88;2025-04-15T09:00:00;2025-05-15T19:55:00;23985000;CLP;0;0
2677-14-LE25;EXÁMENES MAMOGRÁFICOS EN CLÍNICA MÓVIL;I MUNICIPALIDAD DE MOSTAZAL;69.080.500-6;Departamento de Salud;LUCO 400;Mostazal;Región del Libertador General Bernardo OHiggins;LE;cerradas;Las presentes Bases de Licitación, reglamentan el proceso de llamado a Licitación Pública para la contratación del suministro de servicios de exámenes de imagenología específicos para la detección precoz y oportuna de cáncer de mama mediante Mamografías Bilaterales, Compresiones yo Magnificaciones placas complementarias, en Clínica Móvil equipada para dicha actividad y que realizará operativos dentro de la comuna de Mostazal durante el año 2025, de acuerdo a Convenio Programa Imágenes Diagnósticas en Atención Primaria de Salud emanado desde el Servicio de Salud OHiggins, denominada Exámenes Mamográficos en Clínica Móvil dependiente del Departamento de Salud de la Municipalidad de Mostazal.;2025-04-09T16:23:31.31;2025-04-16T16:30:00;2025-04-30T17:00:00;;CLP;0;0
2961-22-LE25;MATERIALES DE FERRETERIA;I MUNICIPALIDAD DE LA GRANJA;69.072.400-6;Adquisicion Municipal;AV. AMERICO VESPUCIO 2;La Granja;Región Metropolitana de Santiago;LE;cerradas;SC 4 SP 265 SERVICIOS GENERALES IDDOC 756362 CUENTA 2153102004260;2025-04-09T16:07:21.183;2025-04-16T16:00:00;2025-04-30T15:00:00;8700000;CLP;0;0
3637-13-LE25;PÓLIZA DE SEGURO PARA LOS BIENES INMUEBLES;ILUSTRE MUNICIPALIDAD DE SAN GREGORIO;69.251.500-5;Municipalidad de San Gregorio - Adquisiciones;Av. Bernardo O`Higgins N 50, Punta Delgada;San Gregorio;Región de Magallanes y de la Antártica;LE;cerradas;Se convoca a Licitación Pública para la Contratación de una Póliza de Seguro para los siguientes bienes inmuebles fiscales y sus contenidos pertenecientes a la Ilustre Municipalidad de San Gregorio y bienes muebles como también 4 grupos electrógenos;2025-04-09T15:52:24.913;2025-04-15T12:00:00;2025-04-17T18:44:00;14000000;CLP;0;0
4726-4-LE25;AUDITORÍA INTEGRAL DE LA GESTIÓN ADMINISTRATIVA CONTRATACIONES DE PERSONAS BIENES Y SERVICIOS Y GESTIÓN DE PROYECTOS;UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION;60.910.047-8;UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCAC;Av. Jose Pedro Alessandri 774;Ñuñoa;Región Metropolitana de Santiago;LE;cerradas;La Universidad Metropolitana de Ciencias de la Educación -en adelante UMCE o Universidad- llama a presentar ofertas para la contratación de los servicios de Auditoría integral de la gestión administrativa, contrataciones de personas, bienes y servicios, y gestión de proyectos: evaluación de la transparencia en el uso de recursos públicos de la Universidad Metropolitana de Ciencias de la Educación - Período 2021-2024.;2025-04-09T15:48:19.32;2025-04-16T17:00:00;2025-04-22T23:59:00;10000000;CLP;0;0
