codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;estado;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
1057918-1-LP25;"Adquisición Equipos CESFAM Requínoa";"SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS";"61.606.800-8";"Activos Fijos";"Bienes y Servicios";"Rancagua";"Región del Libertador General Bernardo O´Higgins";"LP";"Revocada";"Adquisición de Equipos CESFAM, comuna de Requínoa, según especificación adjuntas.";2025-01-29T15:48:00;2025-02-28T15:00:00;2025-04-09T18:44:00;;"CLP";0;0
1211839-16-LQ25;"Servicio de Mantenimiento equipos AUTOCLAVES";"CORP MUNIC EDUC SALUD Y ATENCION";"70.856.400-1";"DEPARTAMENTO DE ABASTECIMIENTO";"Gandarillas 93";"Puente Alto";"Región Metropolitana de Santiago";"LQ";"Revocada";"La Corporación Municipal de Educación, Salud y Atención de Menores de Puente Alto, en adelante la Corporación o la mandante, requiere contratar por medio del presente llamado a licitación pública, el mantenimiento preventivo, correctivo y suministro de repuesto para autoclaves, existentes en los Centros de Salud de la Corporación Municipal Educación, Salud y Atención de Menores de Puente Alto Las labores de mantenimiento comprenden todas las acciones destinadas a mantener la continuidad de operación de los equipos, siendo responsabilidad de la o las empresas adjudicadas el correcto funcionamiento después de cada intervención.  El contrato se regirá por las Bases Administrativas, las Bases Técnicas y todos los antecedentes que emita la Mandante aclaraciones, oficios y anexos para la Licitación precedentemente señalada.";2025-02-17T17:29:00;2025-03-12T17:30:00;2025-04-09T18:00:00;183408000;"CLP";0;0
3447-8-L125;"“La adquisición corresponde a artículos kinesioterapia motora para el programa de atención domiciliaria”.";"MUNICIPALIDAD DE ALTO HOSPICIO";"69.265.100-6";"Direccion de Administracion y Finanzas";"Por correo electrónico";"Las Condes";"Región Metropolitana de Santiago";"L1";"Revocada";"El Departamento de Salud de la Municipalidad de Alto Hospicio, requiere concretar “La adquisición se refiere a artículos de kinesioterapia motora que se utilizan para beneficiar a los usuarios de programas de atención domiciliaria”.";2025-01-08T16:38:18.94;2025-01-17T15:00:00;2025-04-09T10:12:15.04;6660000;"CLP";0;0
947750-7-LE25;"Diseño mejoramiento dependencias de la Municipalidad de San Pedro de Atacama";"I MUNICIPALIDAD DE SAN PEDRO DE ATACAMA";"69.252.500-0";"SECPLA";"Gustavo Le Paige 328";"San Pedro de Atacama";"Región de Antofagasta";"LE";"Revocada";"La Municipalidad de San Pedro de Atacama invita a participar en el proceso de licitación pública para la contratación del servicio de consultoría denominado “Diseño mejoramiento dependencias de la Municipalidad de San Pedro de Atacama”, con el objeto de mejorar las condiciones de habitabilidad del edificio consistorial Municipal.";2025-03-10T16:21:00;2025-03-28T10:00:00;2025-04-09T18:00:00;;"CLP";0;0
1986-1-LE25;"ROPA DE TRABAJO PARA FUNCIONARIOS SERNAPESCA";"SERV NACIONAL DE PESCA";"60.701.006-4";"VIII - Servicio Nacional de Pesca y Acuicultura";"Calle Alto Horno N° 515, Talcahuano";"Talcahuano";"Región del Biobío";"LE";"Revocada";"ADQUISICIÓN DE ROPA DE TRABAJO PARA LOS FUNCIONARIOS DEL SERVICIO NACIONAL DE PESCA Y ACUICULTURA";2025-02-04T10:47:05.35;2025-02-14T11:00:00;2025-04-09T17:00:00;;"CLP";0;0
621-103-LR25;"ONDANSETRON 8 MG CMCM REC 1000020697";"CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD";"61.608.700-2";"Compras del Giro 621";"Bodega Proveedor";"Santiago Centro";"Región Metropolitana de Santiago";"LR";"Revocada";"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD";2025-01-30T15:24:12.223;2025-03-05T16:00:00;2025-04-09T17:30:00;886431000;"CLP";0;0
5539-3-LE25;"Impresión Hojas de Respuesta Pruebas Piloto 2025";"UNIVERSIDAD DE CHILE";"60.910.000-1";"UCHILE Depto.Evaluac. y Medicion Educacional DEMRE";"Avda. José Pedro Alessandri 685";"Ñuñoa";"Región Metropolitana de Santiago";"LE";"Revocada";"El DEMRE de la U. de Chile llama a presentar ofertas para la contratación del Servicio de impresión de Hojas de Respuesta para Pruebas Piloto año 2025, de acuerdo con las especificaciones técnicas detalladas en el apartado de Bases Técnicas de las presentes Bases.";2025-01-15T16:16:46.13;2025-01-29T16:00:00;2025-04-09T16:00:00;;"CLP";0;0
2788-25-LE25;"“SERVICIO DE TRASLADO DE 1 VEHICULO CON CONDUCTOR PARA LA OFICINA DE ORGANIZACIONES COMUNITARIAS DE LA DIRECCIÓN DE DESARROLLO COMUNITARIO DE LA ILUSTRE MUNICIPALIDAD DE PAINE”";"I MUNICIPALIDAD DE PAINE";"69.072.600-9";"DEPARTAMENTO DE ADQUISICIONES";"AVDA.  GENERAL BAQUEDANO # 490";"Paine";"Región Metropolitana de Santiago";"LE";"Revocada";"LICITACION PUBLICA “SERVICIO DE TRASLADO DE 1 VEHICULO CON CONDUCTOR PARA LA OFICINA DE ORGANIZACIONES COMUNITARIAS, DE LA DIRECCIÓN DE DESARROLLO COMUNITARIO DE LA ILUSTRE MUNICIPALIDAD DE PAINE” (DECRETO N° 1373 DEL 28.02.25 QUE AUTORIZA LLAMADO A PROPUESTA PUBLICA)";2025-02-28T16:23:33.363;2025-03-10T16:40:00;2025-04-10T17:30:00;15000000;"CLP";0;0
2667-4-LR25;"CONTRATACIÓN DE SERVICIO DE IMPRESIÓN CONFECCIÓN INSTALACIÓN Y RETIRO MATERIAL DE DIFUSIÓN Y DECORACIÓN";"I MUNICIPALIDAD DE VITACURA";"69.255.600-3";"SECPLA";"AVDA. BICENTENARIO N° 3800.";"Vitacura";"Región Metropolitana de Santiago";"LR";"Revocada";"La presente licitación tiene por objeto contratar a una persona natural o jurídica, para la prestación de los servicios de impresión, confección, instalación y retiro de material de difusión y elementos de decoración, bajo la modalidad de precios unitarios, con la finalidad de informar, difundir y promover las distintas actividades, servicios y eventos que programe la Municipalidad de Vitacura, incluidas las áreas de Educación y Salud, dirigida a los vecinos, contribuyentes y usuarios. También se deben considerar aspectos técnicos para realizar procesos de contingencia nacional, conforme a los requerimientos y exigencias que se describen en las presentes BAE, BT y demás documentos de este proceso licitatorio. En este orden, la presente licitación contempla el servicio de informar a los vecinos mediante diferentes tipos de material, tales como letreros de fomex, sintra, y posteras. Este material se utilizará para la difusión de mejoramiento de obras, la instalación de señaléticas en distintos eventos municipales, y la difusión de información relevante sobre actividades, servicios y eventos organizados por la Municipalidad de Vitacura. Además, incluye la producción de cenefas, acrílicos y banderas vela, rollers tipo araña, para campañas informativas y promocionales, así como la instalación de señalización temporal en obras de construcción o mantenimiento. Los materiales también se emplearán en las áreas de salud y educación, ferias de servicios y otros eventos que requieran comunicación visualmente atractiva para los vecinos, contribuyentes y usuarios de la comuna. Todo esto por un periodo de contrato correspondiente a 36 meses.";2025-01-27T16:47:04.813;2025-02-27T15:00:00;2025-04-10T17:00:00;;"CLF";0;0
4037-3-LR25;"REPOSICION EQUIPOS LUMINARIAS PUBLICAS COMUNA DE FRESIA.";"I MUNICIPALIDAD DE FRESIA";"69.220.400-K";"Departamento de adquisiciones y abastecimiento";"San Francisco 124";"Fresia";"Región de los Lagos";"LR";"Revocada";"REPOSICION EQUIPOS LUMINARIAS PUBLICAS COMUNA DE FRESIA-CODIGO BIP 30340925-0 CONVENIO GORE-MUNICIPALIDAD SEGUN BASES Y OTROS ANTECEDENTES ADJUNTOS APROBADO CON DECRETO ALCALDICIO N-59 DEL 13/01/2025";2025-01-14T15:52:00;2025-03-07T09:00:00;2025-04-10T11:11:00;650972000;"CLP";0;0
