codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
5184-6-LP25;"COMPRA DE KILÓMETROS PARA TRASLADO DE PACIENTES";"SERVICIO DE SALUD DEL MAULE HOSPITAL DE LINARES";"61.606.917-9";"CONTRATOS-SUMINISTRO";"Brasil Nº 753";"Linares";"Región del Maule ";"LP";"COMPRA DE KILÓMETROS PARA TRASLADO DE PACIENTES, SEGÚN REQUERIMIENTO PROMOVIDO POR EL SR. PATRICIO ESPINOZA, JEFE DE MOVILIZACIÓN, Y EL SR. SEBASTIÁN HERNÁNDEZ FIGUEROA, SUBDIRECTOR S DE OPERACIONES DEL HOSPITAL DE LINARES, EN MEMORÁNDUM CONDUCTOR N°156 DE FECHA 05 DE DICIEMBRE DE 2024";2025-01-15T13:45:10.927;2025-02-04T15:30:00;2025-03-21T17:00:00;144000000;"CLP";0;0
1663-56-LE25;"adquisición Monitor de Imágenes Medicas";"SERVICIO DE SALUD CHILOE";"61.602.276-8";"Hospital de Quellón";"";"";"Región de los Lagos ";"LE";"En necesario la adquisición de Monitor médico de 12 megapixeles que cumpla con las características técnicas de imágenes de exámenes radiológicos, para el servicio de imagenología del Hospital de Quellón";2025-02-27T13:03:20.787;2025-03-12T15:30:00;2025-03-25T16:31:16.307;;"CLP";0;0
707420-2-LP25;"Uniformes trabajadores JI y SC región del Maule";"FUNDACION EDUCACIONAL PARA EL DESAROLLO INTEGRAL DE LA NIÑEZ";"70.574.900-0";"Regional Maule";"1 Sur #1201 Esquina 5 Oriente , Ed. Carlos Zaror";"Talca";"Región del Maule ";"LP";"La Fundación Integra, en adelante indistintamente también “la Fundación” o “Integra”, requiere la adquisición de uniformes para jardines infantiles de Fundación Integra Región del Maule, de conformidad a lo señalado en las presentes bases administrativas y a las especificaciones indicadas en las bases técnicas respectivas.";2025-02-07T11:21:00;2025-03-06T15:01:00;2025-03-26T12:19:17.237;127758665;"CLP";0;0
1063538-7-LP25;"SERVICIO DE ARRIENDO AMBULANCIAS";"HOSPITAL BASE OSORNO";"61.602.260-1";"Bienes y Servicios";"GUILLERMO BUHLER 1765, OSORNO";"Osorno";"Región de los Lagos ";"LP";"El Hospital Base San José de Osorno, en adelante también el “Hospital”, requiere la adquisición del servicio de arriendo de ambulancia del Hospital, de acuerdo a las condiciones establecidas en las presentes bases administrativas, económicas, técnicas y sus anexos. La forma de la presente licitación pública corresponde a aquella adquisición mayor o igual  a 1.000 e inferior a 5.000 UTM.";2025-01-17T15:55:00;2025-01-30T17:00:00;2025-03-27T11:09:00;;"CLP";0;0
3663-2-LE25;"SUMINISTRO PAÑALES ADULTO-SABANILLAS-CREMA DENTAL";"I MUNICIPALIDAD DE REQUINOA";"69.081.300-9";"Salud";"Comercio n° 21 Esq. Avenida Leonardo Murialdo";"Requinoa";"Región del Libertador General Bernardo O´Higgins";"LE";"ABASTECER A LA FARMACIA POPULAR DE LA COMUNA DE REQUINOA";2025-03-04T18:20:00;2025-03-13T09:01:00;2025-03-28T16:18:00;;"CLP";0;0
4237-39-LR24;"MEJORAMIENTO ALUMBRADO PUBLICO DIFERENTES VIAS DE";"I MUNICIPALIDAD DE CURANILAHUE";"69.160.200-1";"Secretaria de Planificación";"Avda. Arturo Prat 801";"Curanilahue";"Región del Biobío ";"LR";"MEJORAMIENTO ALUMBRADO PUBLICO DIFERENTES VIAS DE CURANILAHUE";2024-10-16T17:56:06.873;2024-11-15T19:30:00;2025-03-31T15:30:00;720326000;"CLP";0;0
3917-4-LE25;"compra material especialidad administración C-20";"I MUNICIPALIDAD DE TALTAL";"69.020.500-9";"Administracion Escolar";"Arturo Prat 515";"Taltal";"Región de Antofagasta ";"LE";"Compra material especialidad Administración C-20";2025-02-24T10:59:10.483;2025-03-06T11:08:00;2025-03-31T11:09:00;;"CLP";0;0
411-119-LE24;"ALTO DEL CARMEN AVANZA EN INCLUSION DE PERSONAS EN";"ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN";"69.251.900-0";"Departamento Finanzas - D.A.F";"Padre Alonso García s/n  Alto del Carmen";"Alto Del Carmen";"Región de Atacama ";"LE";"Las presentes Bases Técnicas Administrativas rigen para el llamado a Licitación Pública Proyecto denominado  ALTO DEL CARMEN AVANZA EN INCLUSION DE PERSONAS EN SITUACION DE DISCAPACIDAD programa que busca mejorar la calidad de vida de las personas con discapacidad PcD, adjudicado a través de la Resolución Exenta FNDR N° 814 de fecha 22.10.2024, del Gobierno Regional de Atacama.";2024-12-23T11:21:16.227;2025-01-02T15:30:00;2025-01-15T15:31:00;;"CLP";0;0
956-223-LE24;"SERVICIOS DE CAPACITACIÓN DEL CURSO MANEJO DE INTUBACIÓN PEDIATRÍCA Y NEONATAL PARA FUNCIONARIOS DE LEY N°19.378";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"61.606.500-9";"SERVICIO DE SALUD VALPARAISO SAN ANTONIO";"Av. Brasil 1435";"Valparaíso";"Región de Valparaíso ";"LE";"SERVICIOS DE CAPACITACIÓN DEL CURSO MANEJO DE INTUBACIÓN PEDIATRÍCA Y NEONATAL, PARA FUNCIONARIOS DE LEY N°19.378";2024-10-14T11:04:11.39;2024-10-29T15:30:00;2025-01-14T15:52:47.003;10600000;"CLP";0;0
1057049-3-LQ25;"VDH Plomado de pabellones centrales ala norponiente del HCSBA";"SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN";"61.608.604-9";"Bienes y Servicios";"Santa Rosa 1234";"Santiago";"Región Metropolitana de Santiago";"LQ";"El objetivo de la Propuesta es la contratación de “PLOMADO PABELLONES CENTRALES ALA NORPONIENTE del Hospital Clínico San Borja Arriarán”, solicitados en las especificaciones técnicas, en concordancia con las Bases Administrativas, Técnicas, Formularios, aclaraciones y otros documentos que pudieran formularse en el transcurso de la licitación. Se entenderá que todo proveedor conoce y acepta irrevocablemente el contenido de las Bases de licitación, por el solo hecho de presentar ofertas en este proceso de licitación.";2025-01-13T17:27:38.73;2025-01-28T15:30:00;2025-01-31T16:09:19.06;;"CLP";0;0
