Palabra;Variación 1 ;Variación 2;Variación 3;Variación 4;Variación 5;Variación 6;Variación 7;Variación 8;Variación 9;Variación 10;Variación 11
aceleración;;;;;;;;;;;
análisis;analisis;;;;;;;;;;
asesoria;asesoría;asesor;asesora;;;;;;;;
capacitacion;capacitación;capacitaciones;;;;;;;;;
ciencia;ciencias;;;;;;;;;;
competencias;;;;;;;;;;;
competitivo;competitiva;competitividad;;;;;;;;;
consultoria;consultoría;consultora;consultor;consulta;;;;;;;
cualitativo;cualitativa;;;;;;;;;;
cuantitativo;cuantitativa;;;;;;;;;;
cuestionario;cuestionarios;;;;;;;;;;
curso;cursos;;;;;;;;;;
desarrollo;desarrollar;;;;;;;;;;
diagnostico;diagnóstico;;;;;;;;;;
diseño;diseñar;;;;;;;;;;
economia;economía;económico;;;;;;;;;
efecto;efectos;;;;;;;;;;
emprendimiento;emprendedor;emprendedores;emprendedora;emprendedoras;emprender;;;;;;
empresa;empresas;;;;;;;;;;
encuesta;;;;;;;;;;;
energia ;energias ;energía ;energías ;;;;;;;;
estadistica;estadística;;;;;;;;;;
estrategia;estratégico;estratégica;;;;;;;;;
estudio;estudios;;;;;;;;;;
evaluacion;evaluación;evaluaciones;;;;;;;;;
formación;;;;;;;;;;;
fomento;fomentar;;;;;;;;;;
gestión;gestion;;;;;;;;;;
impacto;;;;;;;;;;;
innovacion;innovación;innovar;innovando;innovador;innovadora;innovadores;innovadoras;;;;
instrumento;instrumentos;;;;;;;;;;
medir;medición;;;;;;;;;;
perfeccionamiento;;;;;;;;;;;
piloto;pilotos;pilotaje;;;;;;;;;
plan;planificación ;planificacion;;;;;;;;;
política;políticas;;;;;;;;;;
proceso;procesos;;;;;;;;;;
productividad;productivo;;;;;;;;;;
programa;programas;;;;;;;;;;
regional;regionales;;;;;;;;;;
resultado;resultados;;;;;;;;;;
rural;rurales;;;;;;;;;;
satisfaccion;satisfacción;;;;;;;;;;
social;sociales;;;;;;;;;;
sostenible;sostenibles;sostenibilidad;;;;;;;;;
sustentable ;sustentables ;sustentabilidad;;;;;;;;;
tecnologia;tecnologias ;tecnologico ;tecnologica ;tecnologicos ;tecnologicas;tecnología;tecnologías ;tecnológico ;tecnológica ;tecnológicos ;tecnológicas
urbano;urbanos;urbana;;;;;;;;;
validación;validacion;;;;;;;;;;
