codigo;nombre;institucion_nombre;institucion_rut;unidad;direccion;comuna;region;tipo;descripcion;fecha_inicio;fecha_final;fecha_adjudicacion;monto_estimado;unidad_monetaria;proveedores_participantes;adjudicados
2360-15-LE25;"ADQUISICION DE MONITORES DE PRESION DIGITAL";"I MUNICIPALIDAD DE TALCAHUANO";"69.150.800-5";"DISAM";"BULNES N° 266 TALCAHUANO CENTRO";"Talcahuano";"Región del Biobío ";"LE";"EL DAS DE THNO REQUIERE LA ADQUISICION DE MONITORES DE PRESION DIGITAL PARA EQUIPAMIENTO COMUNAL.";2025-03-28T11:54:13.213;2025-04-04T10:00:00;2025-04-17T16:30:00;8000000;"CLP";0;0
3926-14-LE25;"CONVENIO PARA ARRIENDO Y COMPRA DE INSUMOS DE LABORATORIO";"Ilustre Municipalidad de San Juan de la Costa";"69.251.800-4";"Salud Municipal";"Av. Nueva Norte Sur S/N";"San Juan de La Costa";"Región de los Lagos ";"LE";"DESTINADO A LABORATORIO CESFAM PUAUCHO DESAM SAN JUAN DE LA COSTA";2025-03-28T11:53:17.993;2025-04-04T18:00:00;2025-04-09T15:00:00;;"CLP";0;0
1057492-44-LE25;"SUMINISTRO DE KIT CATÉTER PERCUTÁNEO DOBLE LUMEN Y";"HOSPITAL ORIENTE DR LUIS TISNE BROUSSE";"61.959.800-8";"HOSPITAL ORIENTE DR LUIS TISNE BROUSSE";"";"";"Región Metropolitana de Santiago";"LE";"SUMINISTRO DE KIT CATÉTER PERCUTÁNEO DOBLE LUMEN Y APÓSITO DE GASA TEJIDA";2025-03-28T11:53:01.28;2025-04-08T15:00:00;2025-06-08T15:00:00;;"CLP";0;0
1261592-22-LP25;"CONVENIO SUMINISTRO BODEGA DE ASEO SALUD CMDS ANTF";"CORP MUNICIPAL DE DESARROLLO SOCIAL DE A";"71.102.600-2";"UNIDAD TÉCNICA DIRECCIÓN DE SALUD";"AVENIDA ARGENTINA 1595 – II PISO";"Antofagasta";"Región de Antofagasta ";"LP";"Contar con un convenio de suministro para abastecer la bodega de aseo y garantizar la disponibilidad y calidad de los productos para los distintos centros de la atención primaria de salud.";2025-03-28T11:52:50.167;2025-04-17T16:35:00;2026-06-17T16:36:00;;"CLP";0;0
1057544-96-LE25;"Contratación de Servicios Profesional y administrativos para el Área Finanzas del Hospital Las Higueras";"SERVICIO DE SALUD DE TALCAHUANO HOSPITAL";"61.607.202-1";"Bienes y Servicios";"Avenida Alto Horno, 777 Las Higueras";"Talcahuano";"Región del Biobío ";"LE";"La presente licitación pública tiene por objetivo contratar servicios Profesionales y Administrativos, para reforzar la gestión del Área de Finanzas del Hospital las Higueras.";2025-03-28T11:50:24.777;2025-04-08T15:00:00;2025-05-03T17:00:00;34000000;"CLP";0;0
2455-30-LE25;"ADQUISICIÓN DE CASETAS";"ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL";"69.071.000-5";"SECRETARIA COMUNAL DE PLANIFICACIÓN";"Av. Carrascal 4447, Quinta Normal";"Quinta Normal";"Región Metropolitana de Santiago";"LE";"El presente certamen licitatorio tiene por finalidad convocar a los interesados, para que presenten sus ofertas para la “ADQUISICIÓN DE CASETAS”. Los bienes requeridos se encuentran descritos en las Especificaciones Técnicas de la presente propuesta.";2025-03-28T11:50:11.757;2025-04-03T09:00:00;2025-05-30T17:27:00;19338583;"CLP";0;0
621-311-LP25;"EQ.INFU SCALP-VEIN EXT.SANG 21GX 17A29MM 1000020873";"CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD";"61.608.700-2";"Compras del Giro 621";"Bodega Proveedor";"Santiago Centro";"Región Metropolitana de Santiago";"LP";"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD";2025-03-28T11:47:12.91;2025-04-17T16:00:00;2025-05-20T17:30:00;128181032;"CLP";0;0
4784-3-LE25;"Reproducción 3D de piezas óseas para el MUARSE";"SERVICIO NACIONAL DEL PATRIMONIO CULTURAL";"60.905.000-4";"MUSEO ARQUEOLOGICO DE LA SERENA";"Cordovez, esquina Cienfuegos";"La Serena";"Región de Coquimbo ";"LE";"Se necesita contratar Servicio de digitalización y reproducción 3D de piezas óseas que resguarda la institución con el fin de ser utilizados para talleres educativos y trabajos de precisión científica en laboratorio. Se requiere que la empresa que se adjudique la licitación trabaje en terreno en los laboratorios del Museo Arqueológico de La Serena. Además realice las labores de levantamiento, digitalización, modelado e impresión de 50 objetos óseos que el Museo proveerá en el lugar.";2025-03-28T11:45:37.533;2025-04-09T12:00:00;2025-04-16T17:30:00;;"CLP";0;0
1003473-40-LE25;"CONTRATO DE SUMINISTRO DE CELULOSA REGENERADA FIBRA- HOMEOSTATICO PARA NEUROCIRUGÍA DEL HOSPITAL DE CURICÓ";"SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO";"61.606.903-9";"INSUMOS CLINICOS";"";"";"Región del Maule ";"LE";"El Hospital San Juan de Dios de Curicó, requiere suscribir un contrato de suministro de insumos de neurocirugía, a objeto de satisfacer adecuadamente la demanda de estos.";2025-03-28T11:43:26.943;2025-04-02T17:31:00;2025-06-04T17:30:00;;"CLP";0;0
3690-5-LE25;"INSUMOS GENERALES LABORATORIO CESFAM";"I MUNICIPALIDAD DE LAS CABRAS";"69.080.800-5";"Salud";"J.Kennedy Nro 506, Las Cabras";"Las Cabras";"Región del Libertador General Bernardo O´Higgins";"LE";"La Ilustre Municipalidad de Las Cabras a través del Departamento de salud, requiere la compra de insumos y reactivos para el funcionamiento del laboratorio clínico y así realizar los exámenes asociados a la canasta básica de prestaciones";2025-03-28T11:41:19.1;2025-04-07T15:00:00;2025-05-30T18:42:00;;"CLP";0;0
3921-8-LQ25;"PROGRAMAS ODONTOLÓGICOS DSM VILLARRICA";"I MUNICIPALIDAD DE VILLARRICA";"69.191.500-K";"salud";"Valentin Letelier 415";"Villarrica";"Región de la Araucanía ";"LQ";"SE REQUIERE CONTRATAR SERVICIOS DENTALES DE DIVERSAS ESTRATEGIAS DE SALUD BUCAL, PARA USUARIOS DE LISTA DE ESPERA DEL DSM VILLARRICA. DICHA PRESTACIONES DEBEN REALIZARSE EN LA COMUNA DE VILLARRICA";2025-03-28T11:40:47.11;2025-04-17T14:00:00;2025-05-09T13:19:00;237481044;"CLP";0;0
1057681-5-LE25;"Adquisición de Entradas al Cine: SSMO";"DIRECCION SERVICIO SALUD METROPOLITANO O";"61.608.401-1";"Bienestar";"Canada 308, Providencia";"Providencia";"Región Metropolitana de Santiago";"LE";"El Servicio de Salud Metropolitano Oriente SSMO requiere adquirir entradas al cine, dirigidas a los funcionarios afiliados al Servicio de Bienestar, de acuerdo con las condiciones establecidas en las presentes bases administrativas y especificaciones técnicas y sus anexos.";2025-03-28T11:37:43.93;2025-04-07T18:43:00;2025-04-18T18:44:00;;"CLP";0;0
3664-7-LE25;"SERVICIO DE LIMPIEZA Y MANTENCIÓN DE AREAS VERDES";"I MUNICIPALIDAD DE REQUINOA";"69.081.300-9";"Educación";"Pablo Rubio 499 (DEPARTAMENTO DE EDUCACION)";"Requinoa";"Región del Libertador General Bernardo O´Higgins";"LE";"SERVICIO DE LIMPIEZA Y MANTENCIÓN MENSUAL DE AREAS VERDES 2025 DE ESTABLECIMIENOS EDUCACIONALES, JARDINES INFANTILES Y SALA CUNA VTF";2025-03-28T11:37:30.677;2025-04-07T17:33:00;2025-04-15T17:34:00;17000000;"CLP";0;0
1058052-1-LE25;"SUMINISTRO INHIBIDOR DE LA SGLT-2";"SERVICIO DE SALUD IQUIQUE";"61.606.100-3";"Fármarcos";"Bienes y Servicios";"Iquique";"Región de Tarapacá  ";"LE";"Inhibidor de la SGLT-2 10mg Dapagliflozina o Empagliflozina";2025-03-28T11:37:16.537;2025-04-07T18:00:00;2025-05-31T19:53:00;;"CLP";0;0
2992-18-LE25;"Cables de conexión discos duros y otros";"I MUNICIPALIDAD DE MONTEPATRIA";"69.040.800-7";"I MUNICIPALIDAD DE MONTEPATRIA";"DIAGUITAS N°31";"Monte Patria";"Región de Coquimbo ";"LE";"Cables de conexión, discos duros y otros para establecimientos educacionales";2025-03-28T11:37:07.437;2025-04-07T18:36:00;2025-04-08T18:37:00;;"CLP";0;0
621-312-LQ25;"MEDROXIPROGESTERONA 5 MG CMCM RECGG 1000020843";"CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD";"61.608.700-2";"Compras del Giro 621";"Bodega Proveedor";"Santiago Centro";"Región Metropolitana de Santiago";"LQ";"BASES ADMINISTRATIVAS Y TÉCNICAS TIPO, POR LAS QUE SE REGIRÁN LOS PROCESOS DE LICITACIÓN PARA LA ADQUISICIÓN DE PRODUCTOS FARMACÉUTICOS, COSMÉTICOS, VACUNAS, INSUMOS, DISPOSITIVOS, Y/O ALIMENTOS DE USO MÉDICO, DESTINADO AL EJERCICIO DE ACCIONES DE SALUD";2025-03-28T11:35:30.11;2025-04-17T16:00:00;2025-05-20T17:30:00;286888613;"CLP";0;0
1973-33-L125;"SUMINISTRO DE REACTIVO Y CONTROL DE CALIDAD HBA1C DE LA UNIDAD DE LABORATORIO ";"CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE";"61.953.200-7";"CRS de Peñalolen Cordillera Oriente";"Por correo electrónico";"Las Condes";"Región Metropolitana de Santiago";"L1";"El objeto de la presente licitación es la Contratación de suministro de reactivo y control de calidad HBA1C de la unidad de laboratorio, por un periodo de 2 años (24 meses).";2025-03-28T11:35:28.27;2025-04-04T17:30:00;2025-04-22T18:00:00;3500000;"CLP";0;0
