id;alias
CORPORACION DE FOMENTO DE LA PRODUCCION;Corfo
SERVICIO DE COOPERACION TECNICA;Sercotec
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMAÑO;Subsecretaría de Economía
SUBSECRETARIA DE CIENCIA, TECNOLOGIA, CONOCIMIENTO E INNOVACION;Subsecretaría de Ciencia
DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES;ProChile
SUBSECRETARIA DE ENERGIA;Subsecretaría de Energía
SENADO DE LA REPUBLICA;Senado
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL;Servicio Nacional del Patrimonio Cultural
SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES;Subsecretaría de Cultura
SUBSECRETARIA DE PREVENCION DEL DELITO;Subsecretaría de Prevención del Delito
Comisión Nacional de Investigación Científica y Tecnológicas - CONICYT;Conicyt
SERVICIO DE IMPUESTOS INTERNOS DIRECCION;Servicio de Impuestos Internos
DIRECCION NACIONAL DEL SERVICIO CIVIL;Servicio Civil
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA;Agencia de Promoción de la Inversión Extranjera
SUBSECRETARIA DEL MEDIO AMBIENTE;Subsecretaría del Medio Ambiente
FUNDACION IMAGEN DE CHILE;Fundación Imagen de Chile
OFICINA DE ESTUDIOS Y POLITICAS AGRARIAS;Odepa
SUBSECRETARIA DEL MINISTERIO DE JUSTICIA;Subsecretaría de Justicia
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO;Sence
GOBIERNO REGIONAL DE LA REGION DEL BIOBIO;Gobierno Regional del Biobío
AGENCIA CHILENA DE EFICIENCIA ENERGETICA;Agencia Chilena de Eficiencia Energética
SUBSECRETARIA DEL MINISTERIO DE HACIENDA;Subsecretaría de Hacienda
MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA;Segpres
